@relation PresenceOfPecans
@attribute Site numeric
@attribute LATITUDE numeric
@attribute ELEV numeric
@attribute COKLM numeric
@attribute MWM numeric
@attribute MCM numeric
@attribute RHIGH numeric
@attribute RLOW numeric
@attribute RRCORR numeric
@attribute CMAT numeric
@attribute CRR numeric
@attribute RRCORR2 numeric
@attribute SEASON {1,2,3,4}
@attribute RRCORR3 numeric
@attribute ET numeric
@attribute BT numeric
@attribute PET numeric
@attribute AE numeric
@attribute RUNOFF numeric
@attribute BIO5 numeric
@attribute BAR5 numeric
@attribute NAGP numeric
@attribute TEMP numeric
@attribute WATD numeric
@attribute MI numeric
@attribute HIRX numeric
@attribute SNOWAC numeric
@attribute RRANGE numeric
@attribute TRANGE numeric
@attribute REVEN numeric
@attribute MRAIN numeric
@attribute MTEMP numeric
@attribute SDTEMP numeric
@attribute SDRAIN numeric
@attribute CVTEMP numeric
@attribute CVRAIN numeric
@attribute WSTORAGE numeric
@attribute PTOAE numeric
@attribute PTOWATD numeric
@attribute PTORUN numeric
@attribute PTOWATR numeric
@attribute PGROW numeric
@attribute GROWC numeric
@attribute WLTGRC numeric
@attribute WATDGRC numeric
@attribute RUNGRC numeric
@attribute WATRGRC numeric
@attribute WRET numeric
@attribute PERWLTG numeric
@attribute PERWDEF numeric
@attribute PERWRET numeric
@attribute DEFPER numeric
@attribute AVWAT numeric
@attribute CLIM numeric
@attribute CLASS {D, W}
@attribute MEDSTAB numeric
@attribute SUCSTAB numeric
@attribute SUCSTAB2 numeric
@attribute WACCESS numeric
@attribute LLAT numeric
@attribute LBIO5 numeric
@attribute LNAGP numeric
@attribute LMEANELV numeric
@attribute LET numeric
@attribute LPET numeric
@attribute LAE numeric
@attribute LBT numeric
@attribute LTRANGE numeric
@attribute LCMAT numeric
@attribute LMCM numeric
@attribute LMWM numeric
@attribute LMTEMP numeric
@attribute LCVTEMP numeric
@attribute LCRR numeric
@attribute LREVEN numeric
@attribute LRRCORR2 numeric
@attribute LRRCORR3 numeric
@attribute LRRANGE numeric
@attribute LDEFPER numeric
@attribute LPERWDEF numeric
@attribute LPTOAE numeric
@attribute LRUNOFF numeric
@attribute LRHIGH numeric
@attribute LRLOW numeric
@attribute LCOKLM numeric
@attribute LPERWLTG numeric
@attribute LSNOWAC numeric
@attribute LWACCESS numeric
@attribute LPTORUN numeric
@attribute LRUNGRC numeric
@attribute LWRET numeric
@attribute LWLTGRC numeric
@attribute LBAR5 numeric
@attribute LMRAIN numeric
@attribute LWATD numeric
@attribute LCVRAIN numeric
@attribute LPTOWATD numeric
@attribute LPTOWATR numeric
@attribute LWATRGRC numeric
@attribute LHIRX numeric
@attribute LSSTAB2 numeric
@attribute EXPREY numeric
@attribute LEXPREY numeric

@attribute Pecans {0,1}
@data


1,11.1,1640,69,34.72,24.28,38.1,1.02,2,29.213,148.082,6.5,3,4.5,20.7229,29.213,1817.6572,148.082,0,64.6215,0.7368,87.7069,46.3564,1669.5753,-91.8531,12.2747,0,37.08,10.44,3.0875,2.6772,86.9042,3.6283,12.5343,12.4203,101.5729,68.95,12.2747,1.0887,1817.6572,1817.6572,0,12,12,12,0,0,0,1,1,0,100,1,6,D,0.9215,145.2766,10.0408,0.02,1.0457,1.8104,1.943,3.2148,1.3165,3.2595,2.1705,1.4656,1.0187,1.8076,1.8709,1.5406,1.9586,3.4789,2.1705,0.4896,-3,1.0212,1.5691,2,0.0043,1.0894,-2,1.5809,0.0086,1.8389,0.0043,-2,-1.5229,3.2595,-2,-2,1.0795,-0.1327,0.4277,3.2226,2.0068,0.0409,3.2595,-2,1.089,1.0022,26.9653,1.4308,0
12,66.56,600,384,14.39,-28.22,57.66,8.38,1,-6.7593,336.042,5.5,2,5.5,10.6937,4.2083,454.7193,237.412,56.2628,4415.5285,22.9958,192.0147,25.024,217.3073,-26.099,1.3532,119.9557,49.28,42.61,2.059,14.5335,28.2539,16.4357,15.552,-243.1582,55.5361,66.72,1.9153,2.0925,8.0821,10.4922,24,3,1,3,0,1,43.3386,0.3333,1,0.3333,100,3,2,D,0.0261,5.7081,5.7081,0.1717,1.8233,3.645,2.2833,2.7782,1.0291,2.6577,2.3755,0.6241,1.6295,1.4509,1.3381,1.1581,1.5086,3.4404,2.5264,0.3137,-3,1.0607,1.6927,2,0.0043,0.2845,1.7503,1.7609,0.9232,2.5843,-0.4643,2.0791,-0.7406,0.9081,-2,1.637,0.0043,1.3616,1.1624,2.3371,1.7446,0.3227,1.0213,0.0043,0.1314,0.7573,51.3955,1.7109,0
13,61.58,81,321,13.06,-18.11,135.64,11.43,1,-2.1898,520.7,5.5,2,5.5,10.6241,4.0787,430.041,299.2246,126.1408,7031.4484,24.9396,281.9392,33.8471,130.8164,21.0815,0.8259,143.6274,124.21,31.17,3.1259,8.4267,46.3142,11.883,34.7896,-542.6514,80.1758,66.72,1.4372,3.2874,3.4092,7.7877,29,3,1,2,1,2,55.2206,0.3333,0.6667,0.6667,66.6667,4,2,D,0.0326,6.8713,6.8713,0.1717,1.7895,3.847,2.4502,1.9085,1.0263,2.6335,2.476,0.6105,1.4937,1.516,1.5037,1.1159,1.7017,3.3905,2.7166,0.495,-3,1.0607,2.0942,1.824,-0.1696,0.1605,2.1009,2.1324,1.058,2.5065,-0.4643,2.1573,-0.7406,0.5339,0.0043,1.7422,0.0043,1.3969,0.9257,2.1167,1.904,0.5182,0.892,0.3032,-0.0831,0.8377,70.8192,1.8502,0
14,68.24,4220,307,8.26,-26.2,41.74,5.76,1,-9.965,192.307,5.5,2,5.5,9.6722,1.7775,252.6945,152.3592,28.8288,777.9326,8.4602,91.9522,26.7478,100.3353,-23.8974,1.314,76.8515,35.98,34.46,2.6046,13.7997,35.2985,13.42,11.592,-134.6709,72.3341,66.72,1.6585,2.5185,8.7653,5.3284,28,1,1,1,0,1,47.4245,1,1,1,100,3,1,D,0.0374,23.4279,23.4279,0.0017,1.8341,2.8909,1.9636,3.6253,0.9855,2.4026,2.1829,0.2498,1.5373,1.3985,1.3766,0.917,1.5944,3.4572,2.284,0.4157,-3,1.0607,1.5561,2,0.0043,0.2223,1.46,1.6206,0.7604,2.4872,0.0043,1.8857,-1.9318,0.9433,-2,1.6761,0.0043,0.9274,1.1399,2.0015,1.8593,0.4029,0.7274,0.0043,0.1186,1.3699,36.7116,1.5648,0
15,71.3,22,1,4.22,-28,22.86,3.05,1,-12.3472,113.538,5.5,2,5.5,8.8508,0.7176,123.1664,98.0752,15.4628,41.18,0.9305,44.2576,25.0749,25.0912,-7.8174,1.0848,59.182,19.81,32.22,2.4161,13.3421,34.5388,12.4307,7.4528,-100.6762,78.7695,66.72,1.2558,4.9087,7.9653,3.0549,29,0,0,0,0,0,40.3175,0.001,0,0,0,6,1,W,0.0376,0.0237,0.0237,0,1.8532,1.6147,1.646,1.3426,0.947,2.0905,1.9916,-0.1441,1.5081,1.3551,1.3424,0.6253,1.5859,3.4623,2.0551,0.3831,-3,1.0607,1.2969,-2,-2,0.1024,1.1896,1.3591,0.4843,0.0043,-1.9586,1.7723,-2,0.9017,-2,1.6056,-2,-0.0313,1.1252,1.3997,1.8964,0.6919,0.4864,-2,0.0353,-1.4724,4.6644,0.6689,0
16,70.13,39,2,4.56,-29.22,32,5.33,1,-12.1204,183.642,5.5,2,5.5,8.9575,0.838,137.7627,113.7385,41.3287,76.9494,1.3596,56.5987,24.1869,24.0242,33.3032,0.7502,108.5313,26.67,33.78,2.091,16.6562,31.8402,12.8688,9.0045,-106.1747,58.8393,66.72,1.2112,5.7343,3.3333,2.4154,29,0,0,0,0,0,57.0349,0.001,0,0,0,7,1,W,0.0253,0.0165,0.0165,0,1.846,1.8862,1.7528,1.5912,0.9522,2.1391,2.0559,-0.0768,1.5287,1.3594,1.3176,0.659,1.5544,3.4615,2.264,0.3204,-3,1.0607,1.426,-2,-2,0.0868,1.6164,1.5051,0.7267,0.3032,-1.9586,2.0356,-2,0.5242,-2,1.7562,-2,0.1334,1.2216,1.3808,1.7697,0.7592,0.3848,-2,-0.1248,-1.5768,4.5941,0.6623,0
17,62.81,2172,246,14.67,-22.61,91.44,12.7,1,-3.7575,468.983,5.5,2,5.5,10.8251,4.4408,457.1904,310.3707,91.111,7119.0877,23.7631,299.5863,29.5582,146.8198,2.5793,0.9749,150.5889,78.74,37.28,2.3397,13.8889,37.523,14.2413,23.0675,-379.0102,59.0235,66.72,1.473,3.114,5.0179,9.4097,26,3,1,3,0,1,48.5871,0.3333,1,0.3333,100,4,2,D,0.0266,5.6263,5.6263,0.1717,1.7981,3.8524,2.4765,3.3369,1.0344,2.6601,2.4919,0.6475,1.5715,1.4947,1.4376,1.1664,1.6183,3.4185,2.6712,0.3692,-3,1.0607,1.8962,2,0.0043,0.1711,1.9596,1.9611,1.1038,2.391,-0.4643,2.1778,-0.7406,0.7014,-2,1.6866,0.0043,1.3759,1.1427,2.1668,1.771,0.4947,0.974,0.0043,-0.011,0.751,92.3781,1.9656,0
18,60.78,10,77,12.78,-15.56,115.06,14.99,1,-1.838,497.078,5.5,2,5.5,10.6116,3.9167,414.3043,287.8001,121.0789,5934.8026,22.4551,264.2962,36.4608,126.5042,19.979,0.8335,143.0353,100.07,28.34,2.7777,13.028,50.9519,10.9889,27.0913,-597.884,65.4014,66.72,1.4396,3.275,3.4218,8.1981,29,3,1,2,1,2,50.5368,0.3333,0.6667,0.6667,66.6667,4,2,D,0.0299,6.2346,6.2346,0.1717,1.7838,3.7734,2.4221,1.0004,1.0258,2.6173,2.4591,0.5929,1.4524,1.5206,1.5371,1.1065,1.74,3.3806,2.6964,0.4437,-3,1.0607,2.0003,1.824,-0.1696,0.1612,2.0831,2.0609,1.1758,1.8865,-0.4643,2.1555,-0.7406,0.5355,0.0043,1.7037,0.0043,1.3513,1.1149,2.1021,1.8156,0.5165,0.9142,0.3032,-0.0791,0.7955,72.6706,1.8614,0
19,66.9,666,424,14.39,-24.28,66.8,8.89,1,-5.7732,337.312,5.5,2,5.5,10.7524,4.1435,452.5461,230.2712,56.5918,4475.1526,24.5183,182.5231,28.166,222.2749,-25.4635,1.3416,100.036,57.91,38.67,2.3764,13.3084,34.888,15.2241,17.6214,-263.7047,62.6888,66.72,1.9653,2.036,7.9967,9.7939,25,3,2,3,0,1,46.2071,0.6667,1,0.3333,100,3,2,D,0.0316,13.2979,13.2979,0.0883,1.8255,3.6508,2.2613,2.8235,1.0315,2.6557,2.3622,0.6174,1.5874,1.4658,1.4103,1.1581,1.5898,3.4372,2.528,0.3759,-3,1.0607,1.7628,2,0.0043,0.2956,1.7528,1.8248,0.9489,2.6274,-0.1696,2.0002,-1.0074,0.9035,-2,1.6648,0.3032,1.3895,1.1241,2.3469,1.7972,0.3109,0.9914,0.0043,0.1276,1.1241,46.4643,1.6671,0
20,61.21,1417,1,11.69,-9.09,206.5,63.84,2,1.1317,1373.584,6.5,3,6.5,10.4698,3.9758,424.87,424.87,762.0743,12456.4786,24.6882,504.551,44.1405,0,223.2951,0.3093,512.957,142.66,20.78,1.804,30.9153,63.3445,7.876,45.2278,695.9609,39.5122,174.52,1,424.87,0.5575,2.6441,32,3,0,0,3,3,160.6849,0.001,0,1,0,8,2,W,0.0404,0.0071,0.0071,0.2547,1.7869,4.0954,2.7029,3.1514,1.0199,2.6283,2.6283,0.5994,1.3176,1.5579,1.6118,1.0678,1.8283,3.5677,3.1379,0.2562,-3,1.0969,2.1543,-2,-2,0.0043,2.882,2.3149,1.8051,0.0043,-1.9586,2.7101,-0.5772,-0.246,0.4786,2.206,-2,1.3925,1.4902,-2,1.5967,2.6283,0.4239,0.4786,-0.5096,-1.767,212.1011,2.3265,0
21,65.48,1000,447,15.78,-26.33,52.07,6.86,0.1,-5.4491,261.366,4.6,2,4.6,10.9224,4.5648,475.7014,232.273,17.5811,3639.4544,19.6552,185.1646,26.3706,243.4284,-45.0567,1.8201,73.996,45.21,42.11,2.3907,13.1746,30.7173,16.1779,15.0748,-296.8939,69.2125,66.72,2.048,1.9542,27.0575,13.5249,22,3,3,3,0,1,35.1722,1,1,0.3333,100,3,2,D,0.0004,23.5221,23.5221,0.005,1.8162,3.561,2.2676,3,1.0383,2.6773,2.366,0.6594,1.6244,1.4706,1.3742,1.1981,1.5405,3.4319,2.4172,0.3785,-3,1.0253,1.6552,2,0.0043,0.3134,1.2453,1.7166,0.8363,2.6503,0.0043,1.8693,-1.8239,1.4324,-2,1.5463,0.4786,1.2935,1.1197,2.3864,1.8402,0.2932,1.1315,0.0043,0.2601,1.3717,63.7088,1.8042,0
22,64.77,821,510,15.28,-25.44,51.82,8.64,1,-4.2407,282.702,5.5,2,5.5,10.8666,4.4954,469.0771,245.3058,17.2481,3970.5362,19.5855,202.7286,27.1319,223.7713,-39.7323,1.6593,80.092,43.18,40.72,2.1996,16.6731,32.4486,15.0637,15.9398,-355.2154,67.6605,66.72,1.9122,2.0962,27.1959,12.7045,23,3,2,3,0,1,36.9222,0.6667,1,0.3333,100,3,2,D,0.0321,13.7321,13.7321,0.0883,1.8114,3.5988,2.3069,2.9143,1.0361,2.6712,2.3897,0.6528,1.6098,1.488,1.3902,1.1841,1.5617,3.4224,2.4513,0.3423,-3,1.0607,1.6353,2,0.0043,0.2838,1.237,1.7145,0.9365,2.7076,-0.1696,1.9036,-1.0074,1.4347,-2,1.5674,0.3032,1.2919,1.222,2.3498,1.8303,0.3235,1.1043,0.0043,0.2199,1.1381,63.1352,1.8003,0
23,62.53,1499,160,12.61,-18.94,102.87,10.41,1,-3.5972,423.418,5.5,2,5.5,10.5281,3.6481,405.4966,347.0297,73.0417,4882.8158,13.5413,360.5858,33.0766,58.4669,4.4196,0.9577,89.6159,92.46,31.55,2.9154,10.1196,45.2352,12.0112,32.1504,-333.9017,91.1167,92.6654,1.1685,6.9355,5.5516,7.0251,28,3,0,2,1,2,57.7208,0.001,0.6667,0.6667,66.6667,7,2,W,0.0334,0.0209,0.0209,0.2547,1.7962,3.6887,2.557,3.1758,1.0224,2.608,2.5404,0.5621,1.499,1.497,1.4922,1.1007,1.6923,3.4259,2.6268,0.4647,-3,1.0607,1.966,1.824,-0.1696,0.0713,1.8636,2.0123,1.0175,2.2041,-1.9586,1.9524,-0.5772,0.7452,0.0043,1.7614,-2,1.1317,1.0052,1.767,1.9596,0.8417,0.8473,0.3032,-0.0188,-1.51,148.8963,2.1729,0
24,66.58,419,400,16.28,-28.78,28.7,6.35,1,-5.5185,171.958,5.5,2,5.5,10.9466,4.6296,482.5098,153.8665,12.4215,2283.0721,24.4265,93.4672,24.437,328.6433,-64.3618,2.806,71.71,22.35,45.06,2.0028,22.1254,26.4687,16.2612,6.8434,-294.6661,47.7564,66.72,3.1359,1.4682,38.8447,14.8507,22,3,3,3,0,1,32.4908,1,1,0.3333,100,2,2,D,0.0368,24.4019,24.4019,0.005,1.8234,3.3585,1.9707,2.6222,1.0393,2.6835,2.1871,0.6655,1.6538,1.4695,1.3267,1.2117,1.4839,3.4322,2.2354,0.3016,-3,1.0607,1.3493,2,0.0043,0.4977,1.0945,1.4579,0.8028,2.6021,0.0043,1.8556,-1.8239,1.5894,-2,1.5119,0.4786,1.3879,1.3449,2.5167,1.679,0.1697,1.172,0.0043,0.4481,1.3876,27.1964,1.4345,0
